last_update_date,town_number,town,total_cases,confirmed_cases,probable_cases,case_rate,total_deaths,confirmed_deaths,probable_deaths,people_tested,rate_tested_per_100k,number_of_tests,number_of_positives,number_of_negatives,number_of_indeterminates
2022-01-03,1,Andover,312,269,43,9642,4,3,1,2243,69314,7638,352,7281,5
2022-01-03,2,Ansonia,3103,2632,471,16635,35,31,4,14847,79592,62140,3735,58269,136
2022-01-03,3,Ashford,441,398,43,10364,5,4,1,3105,72973,10619,510,10099,10
2022-01-03,4,Avon,1690,1584,106,9247,76,61,15,15488,84745,59793,1959,57770,64
2022-01-03,5,Barkhamsted,325,309,16,9013,7,6,1,2487,68968,9080,379,8689,12
2022-01-03,6,Beacon Falls,888,790,98,14272,7,7,0,4580,73610,19193,1059,18094,40
2022-01-03,7,Berlin,2580,2392,188,12625,44,38,6,15122,73997,62374,3095,59221,58
2022-01-03,8,Bethany,646,584,62,11644,4,3,1,4306,77614,17873,779,17074,20
2022-01-03,9,Bethel,2718,2224,494,13727,63,49,14,16697,84328,62546,3268,59219,59
2022-01-03,10,Bethlehem,455,384,71,13374,2,2,0,2585,75985,9991,534,9441,16
2022-01-03,11,Bloomfield,3071,2857,214,14478,124,104,20,17979,84763,110052,3773,106117,162
2022-01-03,12,Bolton,494,433,61,10115,6,4,2,3648,74693,12507,589,11909,9
2022-01-03,13,Bozrah,391,367,24,14343,7,7,0,2066,75789,8276,459,7812,5
2022-01-03,14,Branford,3772,3353,419,13520,72,65,7,23592,84559,100629,4482,96068,79
2022-01-03,15,Bridgeport,29235,26245,2990,20246,359,290,69,126538,87631,558901,35975,522175,751
2022-01-03,16,Bridgewater,135,87,48,8257,0,0,0,1339,81896,4446,161,4283,2
2022-01-03,17,Bristol,9679,8549,1130,16146,170,141,29,48132,80291,228768,11808,216679,281
2022-01-03,18,Brookfield,2547,2013,534,15006,21,15,6,14719,86720,53094,3012,50043,39
2022-01-03,19,Brooklyn,1390,1338,52,16804,14,14,0,6946,83970,37007,1649,35338,20
2022-01-03,20,Burlington,1093,948,145,11263,5,5,0,7300,75227,27890,1303,26560,27
2022-01-03,21,Canaan,21,21,0,1994,0,0,0,354,33618,1131,26,1105,0
2022-01-03,22,Canterbury,763,712,51,15023,2,2,0,3816,75133,14158,895,13254,9
2022-01-03,23,Canton,866,799,67,8445,37,31,6,7600,74117,28868,989,27863,16
2022-01-03,24,Chaplin,254,238,16,11344,1,1,0,1645,73470,6262,298,5963,1
2022-01-03,25,Cheshire,3814,3331,483,13180,61,51,10,24352,84155,132767,4501,128178,88
2022-01-03,26,Chester,339,310,29,8047,17,14,3,3242,76952,14791,424,14346,21
2022-01-03,27,Clinton,1582,1474,108,12240,11,8,3,10895,84294,39831,1901,37890,40
2022-01-03,28,Colchester,1991,1784,207,12594,33,22,11,13089,82795,54135,2367,51715,53
2022-01-03,29,Colebrook,92,90,2,6571,0,0,0,814,58143,3163,101,3059,3
2022-01-03,30,Columbia,588,519,69,10931,7,7,0,4160,77338,15089,681,14400,8
2022-01-03,31,Cornwall,115,109,6,8443,1,0,1,1306,95888,3771,130,3641,0
2022-01-03,32,Coventry,1287,1120,167,10373,9,8,1,9223,74337,32272,1478,30762,32
2022-01-03,33,Cromwell,1905,1723,182,13765,58,38,20,11739,84825,56266,2289,53914,63
2022-01-03,34,Danbury,15738,14077,1661,18582,200,168,32,74366,87806,277063,19101,257584,378
2022-01-03,35,Darien,2304,2005,299,10604,11,10,1,20582,94726,72185,2822,69314,49
2022-01-03,36,Deep River,436,403,33,9813,1,1,0,3539,79653,12998,525,12459,14
2022-01-03,37,Derby,2006,1720,286,16257,21,19,2,9988,80947,40585,2427,38085,73
2022-01-03,38,Durham,932,837,95,13008,7,6,1,5804,81005,24515,1134,23366,15
