"Last update date","Town number","Town","Total cases ","Confirmed cases","Probable cases","Case rate","Total deaths","Confirmed deaths","Probable deaths","People tested","Rate tested per 100k","Number of tests","Number of positives","Number of negatives","Number of indeterminates"
"06/24/2022","1","Andover","514","439","75","15,884","6","4","2","2,442","75,464","9,378","590","8,780","8"
"06/24/2022","2","Ansonia","4,911","4,222","689","26,327","49","39","10","16,305","87,408","77,023","6,048","70,818","157"
"06/24/2022","3","Ashford","744","671","73","17,485","5","4","1","3,398","79,859","13,168","896","12,259","13"
"06/24/2022","4","Avon","3,030","2,773","257","16,579","81","65","16","17,103","93,582","74,898","3,563","71,253","82"
"06/24/2022","5","Barkhamsted","527","490","37","14,615","8","7","1","2,698","74,820","11,013","621","10,378","14"
"06/24/2022","6","Beacon Falls","1,306","1,163","143","20,990","11","11","0","4,909","78,897","23,227","1,591","21,591","45"
"06/24/2022","7","Berlin","4,098","3,751","347","20,053","52","45","7","16,527","80,872","75,260","4,960","70,217","83"
"06/24/2022","8","Bethany","991","901","90","17,862","4","3","1","4,654","83,886","23,382","1,211","22,140","31"
"06/24/2022","9","Bethel","4,090","3,345","745","20,657","71","56","15","18,113","91,480","74,508","4,926","69,498","84"
"06/24/2022","10","Bethlehem","620","529","91","18,225","3","2","1","2,781","81,746","11,841","749","11,070","22"
"06/24/2022","11","Bloomfield","4,961","4,529","432","23,389","136","116","20","20,226","95,356","133,754","6,221","127,332","201"
"06/24/2022","12","Bolton","753","654","99","15,418","5","4","1","3,960","81,081","15,008","891","14,106","11"
"06/24/2022","13","Bozrah","611","561","50","22,414","7","7","0","2,225","81,621","10,039","736","9,294","9"
"06/24/2022","14","Branford","5,949","5,355","594","21,323","82","73","9","25,532","91,513","124,606","7,159","117,307","140"
"06/24/2022","15","Bridgeport","42,752","38,547","4,205","29,607","450","370","80","140,154","97,060","687,262","55,043","631,139","1,080"
"06/24/2022","16","Bridgewater","201","134","67","12,294","0","0","0","1,426","87,217","5,285","241","5,038","6"
"06/24/2022","17","Bristol","14,449","12,422","2,027","24,103","211","172","39","52,458","87,507","273,117","17,897","254,870","350"
"06/24/2022","18","Brookfield","3,724","2,987","737","21,941","27","20","7","15,831","93,272","62,794","4,446","58,288","60"
"06/24/2022","19","Brooklyn","2,118","2,007","111","25,604","18","18","0","7,571","91,526","45,912","2,584","43,300","28"
"06/24/2022","20","Burlington","1,750","1,498","252","18,034","8","6","2","7,907","81,482","33,601","2,101","31,462","38"
"06/24/2022","21","Canaan","29","28","1","2,754","0","0","0","357","33,903","1,284","36","1,248","0"
"06/24/2022","22","Canterbury","1,134","1,048","86","22,327","4","4","0","4,085","80,429","17,034","1,354","15,664","16"
"06/24/2022","23","Canton","1,463","1,317","146","14,268","39","32","7","8,273","80,681","35,080","1,690","33,363","27"
